,Name,Year,Genre,Publisher,Platform,Platform_Company,Device_Type,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Total_Sales
82,Resident Evil: Dead Aim,2003,Action,Capcom,PS2,Sony,Console,170000,130000,0,40000,340000
83,Seiken Densetsu 3,1995,RPG,SquareSoft,SNES,Nintendo,Console,0,0,890000,0,890000
84,Spy vs Spy,2005,Action,Global Star,XB,Microsoft,Console,80000,20000,0,0,100000
85,Harry Potter and the Deathly Hallows - Part 1,2010,Action,Electronic Arts,PS3,Sony,Console,130000,210000,0,80000,420000
86,Bugs Bunny: Lost in Time,1999,Platform,Infogrames,PS,Sony,Console,220000,150000,0,30000,400000
87,Tom Clancy's Ghost Recon: Predator,2010,Shooter,Ubisoft,PSP,Sony,HHC,70000,20000,0,20000,110000
88,Death Jr.,2005,Platform,Konami Digital Entertainment,PSP,Sony,HHC,170000,0,0,10000,180000
89,Disney Universe,2011,Action,Disney Interactive Studios,Wii,Nintendo,Console,670000,300000,0,100000,1070000
90,Pac-Man and the Ghostly Adventures 2,2014,Adventure,Namco Bandai Games,PS3,Sony,Console,50000,40000,0,20000,110000
91,Need for Speed Underground,2003,Racing,Electronic Arts,PC,PC,PC,0,40000,0,10000,50000
92,Robotron 64,1998,Shooter,GT Interactive,N64,Nintendo,Console,70000,20000,0,0,90000
93,Gummy Bears Magical Medallion,2011,Platform,Storm City Games,Wii,Nintendo,Console,20000,0,0,0,20000
94,Tony Hawk's Pro Skater 2,2001,Sports,Activision,N64,Nintendo,Console,590000,160000,0,10000,760000
95,Red Steel 2,2010,Shooter,Ubisoft,Wii,Nintendo,Console,360000,210000,10000,60000,640000
96,Romancing SaGa 2,1993,RPG,SquareSoft,SNES,Nintendo,Console,0,0,1170000,0,1170000
97,Samurai Warriors Chronicles 3,2014,Action,Tecmo Koei,3DS,Nintendo,HHC,0,0,80000,0,80000
98,Where's Waldo? The Fantastic Journey,2009,Adventure,Ubisoft,Wii,Nintendo,Console,180000,0,0,10000,190000
99,Nobunaga no Yabou: Ranseiki,2002,Strategy,Tecmo Koei,PS2,Sony,Console,0,0,130000,0,130000
100,The Guy Game,2004,Misc,Gathering of Developers,XB,Microsoft,Console,50000,20000,0,0,70000
101,Metroid Prime Pinball,2005,Misc,Nintendo,DS,Nintendo,HHC,210000,0,20000,20000,250000
102,NCAA Football 08,2007,Sports,Electronic Arts,XB,Microsoft,Console,60000,20000,0,0,80000
103,NHL 06,2005,Sports,Electronic Arts,XB,Microsoft,Console,190000,50000,0,10000,250000
104,Madden NFL 2001,2000,Sports,Electronic Arts,PS2,Sony,Console,1190000,70000,50000,200000,1510000
105,Yakuza Kiwami,2016,Adventure,Sega,PS3,Sony,Console,0,0,120000,0,120000
106,Ore wa Shoujo Mangaka,2012,Action,Giza10,PSP,Sony,HHC,0,0,20000,0,20000
107,Rocky Balboa,2007,Sports,Ubisoft,PSP,Sony,HHC,10000,90000,0,10000,110000
108,Victory Spike,1996,Sports,Imagineer,PS,Sony,Console,0,0,10000,0,10000
109,Bubble Bobble Revolution,2005,Puzzle,Atari,DS,Nintendo,HHC,40000,0,0,0,40000
110,State of Emergency 2,2006,Shooter,SouthPeak Games,PS2,Sony,Console,40000,30000,0,10000,80000
111,Lords of the Fallen,2014,RPG,Square Enix,PC,PC,PC,0,30000,0,0,30000
112,Mazes of Fate DS,2008,RPG,Graffiti,DS,Nintendo,HHC,40000,0,0,0,40000
113,Jikkyou Powerful Pro Baseball 2016,2016,Sports,Konami Digital Entertainment,PS4,Sony,Console,0,0,170000,0,170000
114,King Arthur,2004,Action,Konami Digital Entertainment,GC,Nintendo,Console,30000,10000,0,0,40000
115,Magna Carta Portable,2006,RPG,Banpresto,PSP,Sony,HHC,0,0,30000,0,30000
116,Lise no Atelier: Ordre no Renkinjutsushi,2007,RPG,Gust,DS,Nintendo,HHC,0,0,40000,0,40000
117,Armored Core: Master of Arena,1999,Simulation,From Software,PS,Sony,Console,70000,50000,130000,20000,270000
118,Call of Duty 4: Modern Warfare,2007,Shooter,Activision,X360,Microsoft,Console,5910000,2380000,130000,900000,9320000
119,Shrek Super Party,2003,Misc,TDK Mediactive,GC,Nintendo,Console,40000,10000,0,0,50000
120,Steins;Gate: Hiyoku Renri no Darling,2012,Adventure,5pb,PS3,Sony,Console,0,0,20000,0,20000
121,Crime Scene,2009,Adventure,Nobilis,DS,Nintendo,HHC,0,20000,0,0,20000
122,Mortal Kombat,2011,Fighting,Warner Bros. Interactive Entertainment,PS3,Sony,Console,1980000,550000,0,320000,2850000
123,Circuit Breakers,1998,Racing,Mindscape,PS,Sony,Console,40000,30000,0,0,70000
124,Rozen Maiden: Gebetgarten,2007,Fighting,Taito,PS2,Sony,Console,0,0,10000,0,10000
125,Sea Park Tycoon,2010,Simulation,Foreign Media Games,DS,Nintendo,HHC,20000,10000,0,0,30000
126,Hot Wheels: Battle Force 5,2009,Racing,Activision,DS,Nintendo,HHC,130000,20000,0,10000,160000
127,Call of Duty 4: Modern Warfare,2007,Shooter,Activision,PC,PC,PC,0,1120000,0,30000,1150000
128,Rabbids Invasion: The Interactive TV Show,2014,Misc,Ubisoft,PS4,Sony,Console,0,10000,0,0,10000
129,Cabela's Big Game Hunter: Pro Hunts,2014,Shooter,Activision,WiiU,Nintendo,Console,20000,0,0,0,20000
130,Forza Horizon 2,2014,Racing,Microsoft Game Studios,X360,Microsoft,Console,350000,430000,0,70000,850000
131,Hitman: HD Trilogy,2013,Action,Square Enix,PS3,Sony,Console,70000,100000,0,40000,210000
132,Super Robot Taisen XO,2006,Strategy,Banpresto,X360,Microsoft,Console,0,0,10000,0,10000
133,Call of Juarez: The Cartel,2011,Shooter,Ubisoft,PS3,Sony,Console,120000,130000,0,50000,300000
134,Warriors Orochi 3,2014,Action,Tecmo Koei,PS4,Sony,Console,40000,50000,40000,20000,150000
135,The Incredibles: Rise of the Underminer,2005,Action,THQ,PS2,Sony,Console,180000,140000,0,50000,370000
136,Looney Tunes: Galactic Sports,2015,Action,Sony Computer Entertainment,PSV,Sony,HHC,0,60000,0,20000,80000
137,Sumikko Gurashi: Koko ga Ochitsukundesu,2014,Action,Nippon Columbia,3DS,Nintendo,HHC,0,0,170000,0,170000
138,FIFA Manager 12,2011,Sports,Electronic Arts,PC,PC,PC,0,30000,0,10000,40000
139,Buffy the Vampire Slayer: Chaos Bleeds,2003,Action,Vivendi Games,PS2,Sony,Console,90000,70000,0,20000,180000
140,UEFA Euro 2008 Austria-Switzerland,2008,Sports,Electronic Arts,PSP,Sony,HHC,60000,130000,0,60000,250000
141,TOCA Race Driver 3,2006,Racing,Codemasters,PC,PC,PC,0,20000,0,0,20000
142,Fallout 4,2015,RPG,Bethesda Softworks,PC,PC,PC,500000,630000,0,100000,1230000
143,"Army Men World War: Land, Sea, Air",2000,Action,3DO,PS,Sony,Console,170000,120000,0,20000,310000
144,Dai-2-Ji Super Robot Taisen α,2003,Strategy,Banpresto,PS2,Sony,Console,0,0,600000,0,600000
145,Yu-Gi-Oh! The Sacred Cards,2002,RPG,Konami Digital Entertainment,GBA,Nintendo,HHC,940000,350000,0,20000,1310000
146,Nicola Kanshuu: Model * Oshare Audition,2010,Misc,Alchemist,DS,Nintendo,HHC,0,0,60000,0,60000
147,SX Superstar,2003,Racing,Acclaim Entertainment,GC,Nintendo,Console,30000,10000,0,0,40000
148,Style Savvy: Trendsetters,2012,Simulation,Nintendo,3DS,Nintendo,HHC,160000,20000,530000,10000,720000
149,Densetsu no Stafi 4,2006,Platform,Nintendo,DS,Nintendo,HHC,0,0,170000,0,170000
150,"Simple 2500 Series Portable!! Vol. 12: The Hohei 2: Senyuu yo, Sakini Ike",2009,Action,D3Publisher,PSP,Sony,HHC,0,0,20000,0,20000
151,The Sims 2: Castaway,2007,Simulation,Electronic Arts,DS,Nintendo,HHC,630000,50000,0,60000,740000
152,Gegege no Kitarou 2: Youkai Gundan no Chousen,1987,RPG,Namco Bandai Games,NES,Nintendo,Console,0,0,1250000,0,1250000
153,Tom Clancy's Rainbow Six: Vegas 2,2008,Shooter,Ubisoft,PC,PC,PC,0,20000,0,0,20000
154,Disney Guilty Party,2010,Misc,Disney Interactive Studios,Wii,Nintendo,Console,430000,0,0,30000,460000
155,International Superstar Soccer 2000 (JP weekly sales),1999,Sports,Konami Digital Entertainment,N64,Nintendo,Console,0,0,180000,0,180000
156,PictoImage,2007,Puzzle,Sega,DS,Nintendo,HHC,100000,0,0,10000,110000
157,Tamagotchi no Narikiri Channel,2009,RPG,Namco Bandai Games,DS,Nintendo,HHC,0,0,150000,0,150000
158,Doom 3 BFG Edition,2012,Shooter,Bethesda Softworks,PC,PC,PC,0,20000,0,10000,30000
159,Dragon Quest VII: Warriors of Eden,2000,RPG,Enix Corporation,PS,Sony,Console,200000,140000,4099999,20000,4459999
160,El Shaddai: Ascension of the Metatron,2011,Action,Ignition Entertainment,X360,Microsoft,Console,70000,50000,30000,10000,160000
161,Burnout 3: Takedown,2004,Racing,Electronic Arts,PS2,Sony,Console,1230000,1110000,0,340000,2680000
162,Dragon Quest Builders: Revive Alefgard,2016,RPG,Square Enix,PS4,Sony,Console,0,0,220000,0,220000
163,MediEvil: Resurrection,2005,Adventure,Sony Computer Entertainment,PSP,Sony,HHC,190000,410000,0,220000,820000
164,Twinkle * Crusaders GoGo!,2010,Adventure,ASCII Media Works,PSP,Sony,HHC,0,0,20000,0,20000
165,One Piece: Grand Battle!,2001,Fighting,Atari,PS,Sony,Console,0,0,460000,30000,490000
166,Jikkyou Powerful Pro Yakyuu 2011 Ketteiban,2011,Sports,Konami Digital Entertainment,PSP,Sony,HHC,0,0,130000,0,130000
167,The Warriors,2005,Action,Take-Two Interactive,PS2,Sony,Console,440000,20000,0,70000,530000
168,The Sims 2,2004,Simulation,Electronic Arts,PC,PC,PC,20000,240000,0,50000,310000
169,NCAA Football 07,2006,Sports,Electronic Arts,XB,Microsoft,Console,420000,120000,0,10000,550000
170,Famicom Mini: SD Gundam World Gachapon Senshi - Scramble Wars,2004,Strategy,Nintendo,GBA,Nintendo,HHC,0,0,80000,0,80000
171,Marvel Super Heroes,1997,Fighting,Virgin Interactive,PS,Sony,Console,190000,130000,0,20000,340000
172,Max Payne,2003,Shooter,Take-Two Interactive,GBA,Nintendo,HHC,20000,10000,0,0,30000
173,Curse of the Amsterdam Diamond,2012,Puzzle,Easy Interactive,DS,Nintendo,HHC,0,10000,0,0,10000
174,SD Gundam G Generation World,2011,Strategy,Namco Bandai Games,PSP,Sony,HHC,0,0,340000,0,340000
175,Conflict: Desert Storm,2003,Shooter,SCi,GC,Nintendo,Console,60000,20000,0,0,80000
176,Mystic Ark,1995,RPG,Enix Corporation,SNES,Nintendo,Console,0,0,130000,0,130000
177,F.E.A.R. 2: Project Origin,2009,Shooter,Warner Bros. Interactive Entertainment,PS3,Sony,Console,190000,210000,10000,80000,490000
178,Madden NFL 07,2006,Sports,Electronic Arts,XB,Microsoft,Console,970000,30000,0,30000,1030000
179,Rugby 06,2006,Sports,Electronic Arts,XB,Microsoft,Console,10000,0,0,0,10000
180,FIFA Soccer,2005,Sports,Electronic Arts,PSP,Sony,HHC,110000,0,0,10000,120000
181,Ore no Yome: Anata Dake no Hanayome,2010,Adventure,Idea Factory,X360,Microsoft,Console,0,0,20000,0,20000
182,Goblin Commander: Unleash the Horde,2003,Strategy,Jaleco,GC,Nintendo,Console,10000,0,0,0,10000
183,Phoenix Wright: Revived Turnabout,2008,Misc,Capcom,DS,Nintendo,HHC,0,0,40000,0,40000
184,Fatal Frame III: The Tormented,2005,Action,Take-Two Interactive,PS2,Sony,Console,40000,30000,0,10000,80000
185,Garfield's Nightmare,2007,Platform,Game Factory,DS,Nintendo,HHC,10000,0,0,0,10000
186,Turbo Turtle Adventure,2002,Puzzle,Majesco Entertainment,GBA,Nintendo,HHC,40000,10000,0,0,50000
187,Carnage Heart EXA,2010,Strategy,ArtDink,PSP,Sony,HHC,0,0,20000,0,20000
188,Left 4 Dead 2,2009,Shooter,Electronic Arts,X360,Microsoft,Console,2670000,890000,50000,370000,3980000
189,WWE 2K15,2014,Sports,Take-Two Interactive,PS3,Sony,Console,360000,350000,0,140000,850000
190,Dora the Explorer: Super Star Adventures,2004,Adventure,Game Factory,GBA,Nintendo,HHC,170000,60000,0,0,230000
191,Shin Chan: ¡Aventuras de Cine!,2008,Platform,505 Games,DS,Nintendo,HHC,0,0,150000,0,150000
192,The Legend of Heroes: Trails of Cold Steel II,2014,RPG,Nippon Ichi Software,PS3,Sony,Console,10000,0,110000,0,120000
193,NBA 2K17,2016,Sports,Take-Two Interactive,X360,Microsoft,Console,40000,0,0,10000,50000
194,Shutsugeki! Otometachi no Senjou 2: Ikusabana no Kizuna,2011,Strategy,System Soft,PSP,Sony,HHC,0,0,10000,0,10000
195,Doki-Doki Universe,2013,Adventure,Sony Computer Entertainment,PSV,Sony,HHC,10000,40000,0,10000,60000
196,Dr. Seuss' The Cat in the Hat,2003,Misc,Vivendi Games,XB,Microsoft,Console,80000,20000,0,0,100000
197,Alpha Protocol,2010,RPG,Sega,PC,PC,PC,0,30000,0,10000,40000
198,Bust-A-Move '99,1997,Puzzle,Acclaim Entertainment,PS,Sony,Console,180000,120000,0,20000,320000
199,Puzzle Quest: Challenge of the Warlords,2007,Puzzle,D3Publisher,DS,Nintendo,HHC,280000,10000,30000,20000,340000
200,Cabela's Deer Hunt 2005 Season,2004,Sports,Activision,PS2,Sony,Console,180000,140000,0,50000,370000
201,Pachi-Slot Higrashi no Naku Koro ni Matsuri,2010,Misc,Alchemist,PS2,Sony,Console,0,0,20000,0,20000
202,Mortal Kombat: Tournament Edition,2003,Fighting,Midway Games,GBA,Nintendo,HHC,10000,0,0,0,10000
203,FIFA Street 2,2006,Sports,Electronic Arts,GC,Nintendo,Console,90000,20000,0,0,110000
204,Pac 'n Roll,2005,Platform,Namco Bandai Games,DS,Nintendo,HHC,90000,0,20000,10000,120000
205,Harry Potter and the Sorcerer's Stone,2003,Action,Electronic Arts,XB,Microsoft,Console,50000,20000,0,0,70000
206,Mountain King,1982,Action,CBS Electronics,2600,Atari,Console,290000,20000,0,0,310000
207,Saki: Zenkoku-hen,2015,Misc,Kaga Create,PSV,Sony,HHC,0,0,50000,0,50000
208,Wild West Shootout,2010,Shooter,Unknown,Wii,Nintendo,Console,10000,10000,0,0,20000
209,Kouchuu Ouja Mushi King: Super Collection,2007,Action,Sega,DS,Nintendo,HHC,0,0,110000,0,110000
210,¡Shin Chan Flipa en colores!,2007,Platform,505 Games,DS,Nintendo,HHC,0,0,140000,0,140000
211,Phantom Crash,2002,Simulation,Phantagram,XB,Microsoft,Console,30000,10000,10000,0,50000
212,MotoGP '06,2006,Racing,THQ,X360,Microsoft,Console,110000,10000,0,10000,130000
213,Company of Heroes,2006,Strategy,THQ,PC,PC,PC,0,40000,0,10000,50000
214,Road Trip: Shifting Gears,2002,Racing,Zoo Digital Publishing,GBA,Nintendo,HHC,10000,0,0,0,10000
215,Dragon Quest IV: Michibikareshi Monotachi,2001,RPG,Enix Corporation,PS,Sony,Console,0,0,1200000,10000,1210000
216,Assassin's Creed Chronicles,2016,Action,Ubisoft,PSV,Sony,HHC,20000,60000,10000,20000,110000
217,MLB 12: The Show,2012,Sports,Sony Computer Entertainment,PSV,Sony,HHC,180000,0,0,20000,200000
218,Just Dance 3,2011,Misc,Ubisoft,Wii,Nintendo,Console,6050000,3150000,0,1070000,10270000
219,Pokémon I Choose You / Squirtle Squad Game Boy Advance Video,2004,Misc,Nintendo,GBA,Nintendo,HHC,130000,50000,0,0,180000
220,Namco Museum Vol.4,1996,Misc,Sony Computer Entertainment,PS,Sony,Console,20000,10000,160000,10000,200000
221,Disney's Winnie the Pooh's Rumbly Tumbly Adventure,2005,Platform,Ubisoft,GC,Nintendo,Console,50000,10000,0,0,60000
222,Guinness World Records: The Videogame,2008,Action,Warner Bros. Interactive Entertainment,DS,Nintendo,HHC,470000,10000,0,40000,520000
223,Super Robot Taisen OG Saga: Masou Kishin III - Pride of Justice,2013,Strategy,Namco Bandai Games,PSV,Sony,HHC,0,0,30000,0,30000
224,Guitar Hero: Van Halen,2009,Misc,Activision,PS2,Sony,Console,50000,40000,0,10000,100000
225,IL-2 Sturmovik: Birds of Prey,2009,Simulation,505 Games,DS,Nintendo,HHC,60000,0,0,0,60000
226,Nobunaga's Ambition: Iron Triangle,2006,Strategy,Tecmo Koei,PS2,Sony,Console,40000,30000,0,10000,80000
227,Colosseum: Road to Freedom,2005,RPG,Tecmo Koei,PS2,Sony,Console,30000,30000,0,10000,70000
228,Rec Room Games,2009,Sports,Destineer,Wii,Nintendo,Console,350000,0,0,20000,370000
229,Winning Post 7: Maximum 2007,2007,Sports,Tecmo Koei,PS2,Sony,Console,0,0,20000,0,20000
230,The Powerpuff Girls: Relish Rampage,2002,Action,BAM! Entertainment,GC,Nintendo,Console,50000,10000,0,0,60000
231,Kidou Senshi V Gundam,1994,Action,Namco Bandai Games,SNES,Nintendo,Console,0,0,30000,0,30000
232,Suzuki TT Superbikes,2005,Racing,Jester Interactive,PS2,Sony,Console,330000,10000,0,50000,390000
233,Okashi na Shima no Peter Pan: Sweet Never Land,2011,Adventure,Quinrose,PSP,Sony,HHC,0,0,20000,0,20000
234,Invasion From Beyond,1998,Shooter,GT Interactive,PS,Sony,Console,50000,30000,0,10000,90000
235,NBA Street V3,2005,Sports,Electronic Arts,PS2,Sony,Console,520000,410000,0,140000,1070000
236,Code Name: S.T.E.A.M.,2015,Strategy,Nintendo,3DS,Nintendo,HHC,140000,50000,10000,20000,220000
237,Birthday Party Bash,2009,Misc,Take-Two Interactive,Wii,Nintendo,Console,300000,0,0,20000,320000
238,Seaman 2: Peking Genjin Ikusei Kit,2007,Simulation,Sega,PS2,Sony,Console,0,0,60000,0,60000
239,"Lunar 2: Eternal Blue(sales, but wrong system)",1994,RPG,Game Arts,GEN,SEGA,Console,0,0,140000,0,140000
240,Petz: Saddle Club,2009,Simulation,Ubisoft,PSP,Sony,HHC,80000,0,0,10000,90000
241,The Inner World,2013,Adventure,Headup Games,PC,PC,PC,0,30000,0,0,30000
242,PGR3 - Project Gotham Racing 3,2005,Racing,Microsoft Game Studios,X360,Microsoft,Console,490000,30000,30000,50000,600000
243,JU-ON: The Grudge,2009,Action,Rising Star Games,Wii,Nintendo,Console,80000,10000,10000,10000,110000
244,Parfait,2015,Adventure,TGL,PSV,Sony,HHC,0,0,30000,0,30000
