,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Total_Sales
103,NHL 06,XB,2005,Sports,Electronic Arts,190000,50000,0,10000,250000
104,Madden NFL 2001,PS2,2000,Sports,Electronic Arts,1190000,70000,50000,200000,1510000
105,Yakuza Kiwami,PS3,2016,Adventure,Sega,0,0,120000,0,120000
106,Ore wa Shoujo Mangaka,PSP,2012,Action,Giza10,0,0,20000,0,20000
107,Rocky Balboa,PSP,2007,Sports,Ubisoft,10000,90000,0,10000,110000
108,Victory Spike,PS,1996,Sports,Imagineer,0,0,10000,0,10000
109,Bubble Bobble Revolution,DS,2005,Puzzle,Atari,40000,0,0,0,40000
110,State of Emergency 2,PS2,2006,Shooter,SouthPeak Games,40000,30000,0,10000,80000
111,Lords of the Fallen,PC,2014,Role-Playing,Square Enix,0,30000,0,0,30000
112,Mazes of Fate DS,DS,2008,Role-Playing,Graffiti,40000,0,0,0,40000
113,Jikkyou Powerful Pro Baseball 2016,PS4,2016,Sports,Konami Digital Entertainment,0,0,170000,0,170000
114,King Arthur,GC,2004,Action,Konami Digital Entertainment,30000,10000,0,0,40000
115,Magna Carta Portable,PSP,2006,Role-Playing,Banpresto,0,0,30000,0,30000
116,Lise no Atelier: Ordre no Renkinjutsushi,DS,2007,Role-Playing,Gust,0,0,40000,0,40000
117,Armored Core: Master of Arena,PS,1999,Simulation,From Software,70000,50000,130000,20000,270000
118,Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision,5910000,2380000,130000,900000,9320000
119,Shrek Super Party,GC,2003,Misc,TDK Mediactive,40000,10000,0,0,50000
120,Steins;Gate: Hiyoku Renri no Darling,PS3,2012,Adventure,5pb,0,0,20000,0,20000
121,Crime Scene,DS,2009,Adventure,Nobilis,0,20000,0,0,20000
122,Mortal Kombat,PS3,2011,Fighting,Warner Bros. Interactive Entertainment,1980000,550000,0,320000,2850000
123,Circuit Breakers,PS,1998,Racing,Mindscape,40000,30000,0,0,70000
124,Rozen Maiden: Gebetgarten,PS2,2007,Fighting,Taito,0,0,10000,0,10000
125,Sea Park Tycoon,DS,2010,Simulation,Foreign Media Games,20000,10000,0,0,30000
126,Hot Wheels: Battle Force 5,DS,2009,Racing,Activision,130000,20000,0,10000,160000
127,Call of Duty 4: Modern Warfare,PC,2007,Shooter,Activision,0,1120000,0,30000,1150000
128,Rabbids Invasion: The Interactive TV Show,PS4,2014,Misc,Ubisoft,0,10000,0,0,10000
129,Cabela's Big Game Hunter: Pro Hunts,WiiU,2014,Shooter,Activision,20000,0,0,0,20000
130,Forza Horizon 2,X360,2014,Racing,Microsoft Game Studios,350000,430000,0,70000,850000
131,Hitman: HD Trilogy,PS3,2013,Action,Square Enix,70000,100000,0,40000,210000
132,Super Robot Taisen XO,X360,2006,Strategy,Banpresto,0,0,10000,0,10000
133,Call of Juarez: The Cartel,PS3,2011,Shooter,Ubisoft,120000,130000,0,50000,300000
134,Warriors Orochi 3,PS4,2014,Action,Tecmo Koei,40000,50000,40000,20000,150000
135,The Incredibles: Rise of the Underminer,PS2,2005,Action,THQ,180000,140000,0,50000,370000
136,Looney Tunes: Galactic Sports,PSV,2015,Action,Sony Computer Entertainment,0,60000,0,20000,80000
137,Sumikko Gurashi: Koko ga Ochitsukundesu,3DS,2014,Action,Nippon Columbia,0,0,170000,0,170000
138,FIFA Manager 12,PC,2011,Sports,Electronic Arts,0,30000,0,10000,40000
139,Buffy the Vampire Slayer: Chaos Bleeds,PS2,2003,Action,Vivendi Games,90000,70000,0,20000,180000
140,UEFA Euro 2008 Austria-Switzerland,PSP,2008,Sports,Electronic Arts,60000,130000,0,60000,250000
141,TOCA Race Driver 3,PC,2006,Racing,Codemasters,0,20000,0,0,20000
142,Fallout 4,PC,2015,Role-Playing,Bethesda Softworks,500000,630000,0,100000,1230000
143,"Army Men World War: Land, Sea, Air",PS,2000,Action,3DO,170000,120000,0,20000,310000
144,Dai-2-Ji Super Robot Taisen α,PS2,2003,Strategy,Banpresto,0,0,600000,0,600000
145,Yu-Gi-Oh! The Sacred Cards,GBA,2002,Role-Playing,Konami Digital Entertainment,940000,350000,0,20000,1310000
146,Nicola Kanshuu: Model * Oshare Audition,DS,2010,Misc,Alchemist,0,0,60000,0,60000
147,SX Superstar,GC,2003,Racing,Acclaim Entertainment,30000,10000,0,0,40000
148,Style Savvy: Trendsetters,3DS,2012,Simulation,Nintendo,160000,20000,530000,10000,720000
149,Densetsu no Stafi 4,DS,2006,Platform,Nintendo,0,0,170000,0,170000
150,"Simple 2500 Series Portable!! Vol. 12: The Hohei 2: Senyuu yo, Sakini Ike",PSP,2009,Action,D3Publisher,0,0,20000,0,20000
151,The Sims 2: Castaway,DS,2007,Simulation,Electronic Arts,630000,50000,0,60000,740000
152,Gegege no Kitarou 2: Youkai Gundan no Chousen,NES,1987,Role-Playing,Namco Bandai Games,0,0,1250000,0,1250000
153,Tom Clancy's Rainbow Six: Vegas 2,PC,2008,Shooter,Ubisoft,0,20000,0,0,20000
154,Disney Guilty Party,Wii,2010,Misc,Disney Interactive Studios,430000,0,0,30000,460000
155,International Superstar Soccer 2000 (JP weekly sales),N64,1999,Sports,Konami Digital Entertainment,0,0,180000,0,180000
156,PictoImage,DS,2007,Puzzle,Sega,100000,0,0,10000,110000
157,Tamagotchi no Narikiri Channel,DS,2009,Role-Playing,Namco Bandai Games,0,0,150000,0,150000
158,Doom 3 BFG Edition,PC,2012,Shooter,Bethesda Softworks,0,20000,0,10000,30000
159,Dragon Quest VII: Warriors of Eden,PS,2000,Role-Playing,Enix Corporation,200000,140000,4099999,20000,4459999
160,El Shaddai: Ascension of the Metatron,X360,2011,Action,Ignition Entertainment,70000,50000,30000,10000,160000
161,Burnout 3: Takedown,PS2,2004,Racing,Electronic Arts,1230000,1110000,0,340000,2680000
162,Dragon Quest Builders: Revive Alefgard,PS4,2016,Role-Playing,Square Enix,0,0,220000,0,220000
163,MediEvil: Resurrection,PSP,2005,Adventure,Sony Computer Entertainment,190000,410000,0,220000,820000
164,Twinkle * Crusaders GoGo!,PSP,2010,Adventure,ASCII Media Works,0,0,20000,0,20000
165,One Piece: Grand Battle!,PS,2001,Fighting,Atari,0,0,460000,30000,490000
166,Jikkyou Powerful Pro Yakyuu 2011 Ketteiban,PSP,2011,Sports,Konami Digital Entertainment,0,0,130000,0,130000
167,The Warriors,PS2,2005,Action,Take-Two Interactive,440000,20000,0,70000,530000
168,The Sims 2,PC,2004,Simulation,Electronic Arts,20000,240000,0,50000,310000
169,NCAA Football 07,XB,2006,Sports,Electronic Arts,420000,120000,0,10000,550000
170,Famicom Mini: SD Gundam World Gachapon Senshi - Scramble Wars,GBA,2004,Strategy,Nintendo,0,0,80000,0,80000
171,Marvel Super Heroes,PS,1997,Fighting,Virgin Interactive,190000,130000,0,20000,340000
172,Max Payne,GBA,2003,Shooter,Take-Two Interactive,20000,10000,0,0,30000
173,Curse of the Amsterdam Diamond,DS,2012,Puzzle,Easy Interactive,0,10000,0,0,10000
174,SD Gundam G Generation World,PSP,2011,Strategy,Namco Bandai Games,0,0,340000,0,340000
175,Conflict: Desert Storm,GC,2003,Shooter,SCi,60000,20000,0,0,80000
176,Mystic Ark,SNES,1995,Role-Playing,Enix Corporation,0,0,130000,0,130000
177,F.E.A.R. 2: Project Origin,PS3,2009,Shooter,Warner Bros. Interactive Entertainment,190000,210000,10000,80000,490000
178,Madden NFL 07,XB,2006,Sports,Electronic Arts,970000,30000,0,30000,1030000
179,Rugby 06,XB,2006,Sports,Electronic Arts,10000,0,0,0,10000
180,FIFA Soccer,PSP,2005,Sports,Electronic Arts,110000,0,0,10000,120000
181,Ore no Yome: Anata Dake no Hanayome,X360,2010,Adventure,Idea Factory,0,0,20000,0,20000
182,Goblin Commander: Unleash the Horde,GC,2003,Strategy,Jaleco,10000,0,0,0,10000
183,Phoenix Wright: Revived Turnabout,DS,2008,Misc,Capcom,0,0,40000,0,40000
184,Fatal Frame III: The Tormented,PS2,2005,Action,Take-Two Interactive,40000,30000,0,10000,80000
185,Garfield's Nightmare,DS,2007,Platform,Game Factory,10000,0,0,0,10000
186,Turbo Turtle Adventure,GBA,2002,Puzzle,Majesco Entertainment,40000,10000,0,0,50000
187,Carnage Heart EXA,PSP,2010,Strategy,ArtDink,0,0,20000,0,20000
188,Left 4 Dead 2,X360,2009,Shooter,Electronic Arts,2670000,890000,50000,370000,3980000
189,WWE 2K15,PS3,2014,Sports,Take-Two Interactive,360000,350000,0,140000,850000
190,Dora the Explorer: Super Star Adventures,GBA,2004,Adventure,Game Factory,170000,60000,0,0,230000
191,Shin Chan: ¡Aventuras de Cine!,DS,2008,Platform,505 Games,0,0,150000,0,150000
192,The Legend of Heroes: Trails of Cold Steel II,PS3,2014,Role-Playing,Nippon Ichi Software,10000,0,110000,0,120000
193,NBA 2K17,X360,2016,Sports,Take-Two Interactive,40000,0,0,10000,50000
194,Shutsugeki! Otometachi no Senjou 2: Ikusabana no Kizuna,PSP,2011,Strategy,System Soft,0,0,10000,0,10000
195,Doki-Doki Universe,PSV,2013,Adventure,Sony Computer Entertainment,10000,40000,0,10000,60000
196,Dr. Seuss' The Cat in the Hat,XB,2003,Misc,Vivendi Games,80000,20000,0,0,100000
197,Alpha Protocol,PC,2010,Role-Playing,Sega,0,30000,0,10000,40000
198,Bust-A-Move '99,PS,1997,Puzzle,Acclaim Entertainment,180000,120000,0,20000,320000
199,Puzzle Quest: Challenge of the Warlords,DS,2007,Puzzle,D3Publisher,280000,10000,30000,20000,340000
200,Cabela's Deer Hunt 2005 Season,PS2,2004,Sports,Activision,180000,140000,0,50000,370000
201,Pachi-Slot Higrashi no Naku Koro ni Matsuri,PS2,2010,Misc,Alchemist,0,0,20000,0,20000
202,Mortal Kombat: Tournament Edition,GBA,2003,Fighting,Midway Games,10000,0,0,0,10000
203,FIFA Street 2,GC,2006,Sports,Electronic Arts,90000,20000,0,0,110000
204,Pac 'n Roll,DS,2005,Platform,Namco Bandai Games,90000,0,20000,10000,120000
205,Harry Potter and the Sorcerer's Stone,XB,2003,Action,Electronic Arts,50000,20000,0,0,70000
206,Mountain King,2600,1982,Action,CBS Electronics,290000,20000,0,0,310000
207,Saki: Zenkoku-hen,PSV,2015,Misc,Kaga Create,0,0,50000,0,50000
208,Wild West Shootout,Wii,2010,Shooter,Unknown,10000,10000,0,0,20000
209,Kouchuu Ouja Mushi King: Super Collection,DS,2007,Action,Sega,0,0,110000,0,110000
210,¡Shin Chan Flipa en colores!,DS,2007,Platform,505 Games,0,0,140000,0,140000
211,Phantom Crash,XB,2002,Simulation,Phantagram,30000,10000,10000,0,50000
212,MotoGP '06,X360,2006,Racing,THQ,110000,10000,0,10000,130000
213,Company of Heroes,PC,2006,Strategy,THQ,0,40000,0,10000,50000
214,Road Trip: Shifting Gears,GBA,2002,Racing,Zoo Digital Publishing,10000,0,0,0,10000
215,Dragon Quest IV: Michibikareshi Monotachi,PS,2001,Role-Playing,Enix Corporation,0,0,1200000,10000,1210000
216,Assassin's Creed Chronicles,PSV,2016,Action,Ubisoft,20000,60000,10000,20000,110000
217,MLB 12: The Show,PSV,2012,Sports,Sony Computer Entertainment,180000,0,0,20000,200000
218,Just Dance 3,Wii,2011,Misc,Ubisoft,6050000,3150000,0,1070000,10270000
219,Pokémon I Choose You / Squirtle Squad Game Boy Advance Video,GBA,2004,Misc,Nintendo,130000,50000,0,0,180000
220,Namco Museum Vol.4,PS,1996,Misc,Sony Computer Entertainment,20000,10000,160000,10000,200000
221,Disney's Winnie the Pooh's Rumbly Tumbly Adventure,GC,2005,Platform,Ubisoft,50000,10000,0,0,60000
222,Guinness World Records: The Videogame,DS,2008,Action,Warner Bros. Interactive Entertainment,470000,10000,0,40000,520000
223,Super Robot Taisen OG Saga: Masou Kishin III - Pride of Justice,PSV,2013,Strategy,Namco Bandai Games,0,0,30000,0,30000
224,Guitar Hero: Van Halen,PS2,2009,Misc,Activision,50000,40000,0,10000,100000
225,IL-2 Sturmovik: Birds of Prey,DS,2009,Simulation,505 Games,60000,0,0,0,60000
226,Nobunaga's Ambition: Iron Triangle,PS2,2006,Strategy,Tecmo Koei,40000,30000,0,10000,80000
227,Colosseum: Road to Freedom,PS2,2005,Role-Playing,Tecmo Koei,30000,30000,0,10000,70000
228,Rec Room Games,Wii,2009,Sports,Destineer,350000,0,0,20000,370000
229,Winning Post 7: Maximum 2007,PS2,2007,Sports,Tecmo Koei,0,0,20000,0,20000
230,The Powerpuff Girls: Relish Rampage,GC,2002,Action,BAM! Entertainment,50000,10000,0,0,60000
231,Kidou Senshi V Gundam,SNES,1994,Action,Namco Bandai Games,0,0,30000,0,30000
232,Suzuki TT Superbikes,PS2,2005,Racing,Jester Interactive,330000,10000,0,50000,390000
233,Okashi na Shima no Peter Pan: Sweet Never Land,PSP,2011,Adventure,Quinrose,0,0,20000,0,20000
234,Invasion From Beyond,PS,1998,Shooter,GT Interactive,50000,30000,0,10000,90000
235,NBA Street V3,PS2,2005,Sports,Electronic Arts,520000,410000,0,140000,1070000
236,Code Name: S.T.E.A.M.,3DS,2015,Strategy,Nintendo,140000,50000,10000,20000,220000
237,Birthday Party Bash,Wii,2009,Misc,Take-Two Interactive,300000,0,0,20000,320000
238,Seaman 2: Peking Genjin Ikusei Kit,PS2,2007,Simulation,Sega,0,0,60000,0,60000
239,"Lunar 2: Eternal Blue(sales, but wrong system)",GEN,1994,Role-Playing,Game Arts,0,0,140000,0,140000
240,Petz: Saddle Club,PSP,2009,Simulation,Ubisoft,80000,0,0,10000,90000
241,The Inner World,PC,2013,Adventure,Headup Games,0,30000,0,0,30000
242,PGR3 - Project Gotham Racing 3,X360,2005,Racing,Microsoft Game Studios,490000,30000,30000,50000,600000
243,JU-ON: The Grudge,Wii,2009,Action,Rising Star Games,80000,10000,10000,10000,110000
244,Parfait,PSV,2015,Adventure,TGL,0,0,30000,0,30000
245,NASCAR Unleashed,3DS,2011,Racing,Activision,180000,0,0,10000,190000
246,Spider-Man: Friend or Foe,Wii,2007,Action,Activision,130000,10000,0,10000,150000
247,Koudelka,PS,1999,Role-Playing,Atari,50000,30000,0,10000,90000
248,Body Harvest,N64,1998,Shooter,Gremlin Interactive Ltd,160000,40000,0,0,200000
249,Rugby World Cup 2015,PC,2015,Sports,Ubisoft,0,10000,0,0,10000
250,Pokemon Trozei!,DS,2005,Puzzle,Nintendo,260000,0,310000,20000,590000
251,Mario Golf,N64,1999,Action,Nintendo,620000,180000,650000,20000,1470000
252,Frogger: Helmet Chaos,PSP,2005,Platform,Konami Digital Entertainment,100000,0,0,10000,110000
253,Up,PSP,2009,Action,THQ,240000,100000,0,70000,410000
254,Dishonored,PS3,2012,Action,Bethesda Softworks,720000,540000,40000,250000,1550000
255,Teenage Mutant Ninja Turtles II: The Arcade Game,NES,1990,Action,Konami Digital Entertainment,1740000,250000,210000,30000,2230000
256,Frogger 3D,3DS,2011,Action,Konami Digital Entertainment,160000,30000,0,10000,200000
257,Monster Hunter Tri,3DS,2011,Role-Playing,Nintendo,460000,290000,1960000,70000,2780000
258,Rosario to Vampire: Tanabata no Miss Youkai Gakuen,DS,2008,Adventure,Capcom,0,0,10000,0,10000
259,Ape Escape: Pumped & Primed,PS2,2004,Misc,Sony Computer Entertainment,40000,30000,0,10000,80000
260,Just Dance Wii U,WiiU,2014,Misc,Nintendo,0,0,90000,0,90000
261,SimCity 2000,SAT,1994,Simulation,Sega,0,0,280000,0,280000
262,Worldwide Soccer Manager 2007,PC,2006,Sports,Sega,0,20000,0,0,20000
263,Glover,PS,1999,Platform,Atari,90000,60000,0,10000,160000
264,The Witch and the Hundred Knight,PS4,2015,Role-Playing,Nippon Ichi Software,20000,10000,50000,10000,90000
265,NBA 2K12,PSP,2011,Sports,Take-Two Interactive,220000,30000,0,30000,280000
266,Ping Pals,DS,2004,Misc,THQ,100000,0,0,10000,110000
267,NFL GameDay 2001,PS2,2000,Sports,Sony Computer Entertainment,180000,140000,0,50000,370000
268,Twisted Metal: Black,PS2,2001,Racing,Sony Computer Entertainment,1190000,170000,0,50000,1410000
269,One Piece: Unlimited World Red,PS3,2014,Action,Namco Bandai Games,90000,120000,60000,50000,320000
270,Panzer Tactics,DS,2007,Strategy,10TACLE Studios,60000,0,0,0,60000
271,Iron Chef America: Supreme Cuisine,DS,2008,Simulation,Destineer,180000,0,0,10000,190000
272,The Incredibles: Rise of the Underminer,XB,2005,Action,THQ,60000,20000,0,0,80000
273,Warhammer: Dark Omen,PS,1998,Strategy,Electronic Arts,20000,10000,0,0,30000
274,Making History: The Great War,Wii,2010,Strategy,Namco Bandai Games,0,0,150000,0,150000
275,Chibi-Robo! Zip Lash,3DS,2015,Platform,Nintendo,90000,80000,60000,20000,250000
276,Bolt,PS3,2008,Adventure,Disney Interactive Studios,120000,50000,0,20000,190000
277,Soldier of Fortune II: Double Helix,XB,2003,Shooter,Activision,170000,50000,0,10000,230000
278,1942,NES,1985,Shooter,Capcom,650000,140000,210000,0,1000000
279,Alvin and the Chipmunks: Chipwrecked,X360,2011,Misc,505 Games,80000,10000,0,10000,100000
280,Tony Hawk's Underground 2,GBA,2004,Sports,Activision,350000,130000,0,10000,490000
281,Slam Dunk SD Heat Up!!,SNES,1995,Sports,Namco Bandai Games,0,0,50000,0,50000
282,Cabela's Dangerous Hunts: Ultimate Challenge,PSP,2006,Sports,Activision Value,60000,0,0,0,60000
283,FIFA Soccer 2005,GC,2004,Sports,Electronic Arts,110000,30000,0,0,140000
284,Apollo Justice: Ace Attorney,DS,2007,Adventure,Capcom,320000,60000,640000,40000,1060000
285,NCAA Football 06,PS2,2005,Sports,Electronic Arts,1530000,50000,0,250000,1830000
286,Dark Messiah of Might and Magic Elements,X360,2008,Role-Playing,Ubisoft,160000,20000,10000,20000,210000
287,Samurai Shodown Sen,X360,2009,Fighting,Rising Star Games,70000,10000,0,10000,90000
